nSeq,A1,Activity
11,518.0,elevacion_reggaeton
12,518.0,elevacion_reggaeton
13,517.0,elevacion_reggaeton
14,517.0,elevacion_reggaeton
15,524.0,elevacion_reggaeton
0,521.0,elevacion_reggaeton
1,514.0,elevacion_reggaeton
2,515.0,elevacion_reggaeton
3,510.0,elevacion_reggaeton
4,506.0,elevacion_reggaeton
5,505.0,elevacion_reggaeton
6,509.0,elevacion_reggaeton
7,510.0,elevacion_reggaeton
8,515.0,elevacion_reggaeton
9,517.0,elevacion_reggaeton
10,517.0,elevacion_reggaeton
11,522.0,elevacion_reggaeton
12,521.0,elevacion_reggaeton
13,514.0,elevacion_reggaeton
14,520.0,elevacion_reggaeton
15,521.0,elevacion_reggaeton
0,519.0,elevacion_reggaeton
1,511.0,elevacion_reggaeton
2,508.0,elevacion_reggaeton
3,504.0,elevacion_reggaeton
4,504.0,elevacion_reggaeton
5,508.0,elevacion_reggaeton
6,504.0,elevacion_reggaeton
7,504.0,elevacion_reggaeton
8,507.0,elevacion_reggaeton
9,511.0,elevacion_reggaeton
10,516.0,elevacion_reggaeton
11,516.0,elevacion_reggaeton
12,515.0,elevacion_reggaeton
13,510.0,elevacion_reggaeton
14,512.0,elevacion_reggaeton
15,521.0,elevacion_reggaeton
0,523.0,elevacion_reggaeton
1,518.0,elevacion_reggaeton
2,516.0,elevacion_reggaeton
3,519.0,elevacion_reggaeton
4,518.0,elevacion_reggaeton
5,518.0,elevacion_reggaeton
6,517.0,elevacion_reggaeton
7,515.0,elevacion_reggaeton
8,516.0,elevacion_reggaeton
9,512.0,elevacion_reggaeton
10,509.0,elevacion_reggaeton
11,505.0,elevacion_reggaeton
12,508.0,elevacion_reggaeton
13,513.0,elevacion_reggaeton
14,519.0,elevacion_reggaeton
15,521.0,elevacion_reggaeton
0,521.0,elevacion_reggaeton
1,515.0,elevacion_reggaeton
2,511.0,elevacion_reggaeton
3,512.0,elevacion_reggaeton
4,510.0,elevacion_reggaeton
5,514.0,elevacion_reggaeton
6,517.0,elevacion_reggaeton
7,520.0,elevacion_reggaeton
8,510.0,elevacion_reggaeton
9,512.0,elevacion_reggaeton
10,515.0,elevacion_reggaeton
11,515.0,elevacion_reggaeton
12,516.0,elevacion_reggaeton
13,513.0,elevacion_reggaeton
14,518.0,elevacion_reggaeton
15,513.0,elevacion_reggaeton
0,511.0,elevacion_reggaeton
1,512.0,elevacion_reggaeton
2,511.0,elevacion_reggaeton
3,511.0,elevacion_reggaeton
4,513.0,elevacion_reggaeton
5,515.0,elevacion_reggaeton
6,516.0,elevacion_reggaeton
7,519.0,elevacion_reggaeton
8,523.0,elevacion_reggaeton
9,520.0,elevacion_reggaeton
10,517.0,elevacion_reggaeton
11,519.0,elevacion_reggaeton
12,516.0,elevacion_reggaeton
13,511.0,elevacion_reggaeton
14,511.0,elevacion_reggaeton
15,510.0,elevacion_reggaeton
0,508.0,elevacion_reggaeton
1,509.0,elevacion_reggaeton
2,514.0,elevacion_reggaeton
3,520.0,elevacion_reggaeton
4,515.0,elevacion_reggaeton
5,515.0,elevacion_reggaeton
6,515.0,elevacion_reggaeton
7,510.0,elevacion_reggaeton
8,511.0,elevacion_reggaeton
9,504.0,elevacion_reggaeton
10,505.0,elevacion_reggaeton
11,512.0,elevacion_reggaeton
12,516.0,elevacion_reggaeton
13,518.0,elevacion_reggaeton
14,514.0,elevacion_reggaeton
15,511.0,elevacion_reggaeton
0,515.0,elevacion_reggaeton
1,519.0,elevacion_reggaeton
2,515.0,elevacion_reggaeton
3,516.0,elevacion_reggaeton
4,519.0,elevacion_reggaeton
5,515.0,elevacion_reggaeton
6,510.0,elevacion_reggaeton
7,509.0,elevacion_reggaeton
8,514.0,elevacion_reggaeton
9,519.0,elevacion_reggaeton
10,514.0,elevacion_reggaeton
11,513.0,elevacion_reggaeton
